Airline,Days from Purchase to Travel,Fare Type,Número de registros,Passenger Email,Person-1,Person,Purchase Date,Purchase Day,Origin,Destination,Route,Row ID,Ticket Price,Travel Date,TravelDay,Trips,Type of Traveler,Insure,Sex
Southwest,28,Economy,1,abarton@vizpainter.com,Adrian Barton,Adrian Barton,26/10/2019,sábado,DAL,OKC,DAL-OKC,7,110,23/11/2019,sábado,7,Casual,True,M
Southwest,95,Business,1,abarton@vizpainter.com,Adrian Barton,Adrian Barton,19/09/2016,lunes,DAL,SEA,DAL-SEA,7,64,23/12/2016,viernes,7,Casual,False,M
Southwest,57,Economy,1,abarton@vizpainter.com,Adrian Barton,Adrian Barton,27/10/2016,jueves,DAL,HOU,DAL-HOU,7,91,23/12/2016,viernes,7,Casual,False,M
Southwest,28,Economy,1,abarton@vizpainter.com,Adrian Barton,Adrian Barton,26/10/2019,sábado,DAL,HOU,DAL-HOU,7,105,23/11/2019,sábado,7,Casual,False,M
Southwest,57,Economy,1,abarton@vizpainter.com,Adrian Barton,Adrian Barton,27/10/2016,jueves,DAL,HOU,DAL-HOU,7,91,23/12/2016,viernes,7,Casual,False,M
American Airlines,27,Economy,1,abarton@vizpainter.com,Adrian Barton,Adrian Barton,24/11/2018,sábado,DFW,SEA,DFW-SEA,9040,237,21/12/2018,viernes,7,Casual,False,M
Southwest,95,Business,1,abarton@vizpainter.com,Adrian Barton,Adrian Barton,19/09/2016,lunes,DAL,SEA,DAL-SEA,7,64,23/12/2016,viernes,7,Casual,False,M
American Airlines,27,Economy,1,abarton@vizpainter.com,Adrian Barton,Adrian Barton,24/11/2018,sábado,DFW,SEA,DFW-SEA,9040,237,21/12/2018,viernes,7,Casual,False,M
American Airlines,48,Economy,1,abarton@vizpainter.com,Adrian Barton,Adrian Barton,25/09/2017,lunes,DFW,JFK,DFW-JFK,9103,235,12/11/2017,domingo,7,Casual,False,M
American Airlines,63,Economy,1,abarton@vizpainter.com,Adrian Barton,Adrian Barton,10/09/2017,domingo,DFW,CMH,DFW-CMH,9102,214,12/11/2017,domingo,7,Casual,False,M
American Airlines,63,Economy,1,abarton@vizpainter.com,Adrian Barton,Adrian Barton,10/09/2017,domingo,DFW,CMH,DFW-CMH,9102,214,12/11/2017,domingo,7,Casual,False,M
American Airlines,48,Economy,1,abarton@vizpainter.com,Adrian Barton,Adrian Barton,25/09/2017,lunes,DFW,JFK,DFW-JFK,9103,235,12/11/2017,domingo,7,Casual,False,M
Southwest,28,Economy,1,abarton@vizpainter.com,Adrian Barton,Adrian Barton,26/10/2019,sábado,DAL,OKC,DAL-OKC,7,110,23/11/2019,sábado,7,Casual,False,M
Southwest,23,Economy,1,ahane@vizpainter.com,Adrian Hane,Adrian Hane,29/10/2019,martes,DAL,CLE,DAL-CLE,8,130,21/11/2019,jueves,10,Casual,True,M
Southwest,23,Economy,1,ahane@vizpainter.com,Adrian Hane,Adrian Hane,29/10/2019,martes,DAL,CLE,DAL-CLE,8,130,21/11/2019,jueves,10,Casual,True,M
Southwest,21,Economy,1,ahane@vizpainter.com,Adrian Hane,Adrian Hane,31/10/2019,jueves,DAL,OKC,DAL-OKC,8,74,21/11/2019,jueves,10,Casual,True,M
Southwest,93,Economy,1,ahane@vizpainter.com,Adrian Hane,Adrian Hane,20/08/2019,martes,DAL,AUS,DAL-AUS,8,63,21/11/2019,jueves,10,Casual,True,M
Southwest,116,Economy,1,ahane@vizpainter.com,Adrian Hane,Adrian Hane,28/07/2019,domingo,DAL,ATL,DAL-ATL,8,158,21/11/2019,jueves,10,Casual,True,M
Southwest,6,Economy,1,ahane@vizpainter.com,Adrian Hane,Adrian Hane,02/09/2019,lunes,DAL,LGA,DAL-LGA,8,103,08/09/2019,domingo,10,Casual,True,M
Southwest,123,Economy,1,ahane@vizpainter.com,Adrian Hane,Adrian Hane,15/05/2017,lunes,DAL,AUS,DAL-AUS,8,62,15/09/2017,viernes,10,Casual,False,M
Delta,15,Economy,1,ahane@vizpainter.com,Adrian Hane,Adrian Hane,22/02/2016,lunes,DFW,SEA,DFW-SEA,8500,70,08/03/2016,martes,10,Casual,False,M
American Airlines,117,Business,1,ahane@vizpainter.com,Adrian Hane,Adrian Hane,14/05/2019,martes,DFW,HIO,DFW-HIO,1556,400,08/09/2019,domingo,10,Casual,False,M
Delta,9,First Class,1,ahane@vizpainter.com,Adrian Hane,Adrian Hane,06/09/2017,miércoles,DFW,COS,DFW-COS,2631,350,15/09/2017,viernes,10,Casual,False,M
Delta,41,First Class,1,ahane@vizpainter.com,Adrian Hane,Adrian Hane,11/10/2019,viernes,DFW,MCO,DFW-MCO,1601,575,21/11/2019,jueves,10,Casual,False,M
Delta,15,Economy,1,ahane@vizpainter.com,Adrian Hane,Adrian Hane,22/02/2016,lunes,DFW,SEA,DFW-SEA,8500,70,08/03/2016,martes,10,Casual,False,M
Southwest,93,Economy,1,ahane@vizpainter.com,Adrian Hane,Adrian Hane,20/08/2019,martes,DAL,AUS,DAL-AUS,8,63,21/11/2019,jueves,10,Casual,False,M
Southwest,123,Economy,1,ahane@vizpainter.com,Adrian Hane,Adrian Hane,15/05/2017,lunes,DAL,AUS,DAL-AUS,8,62,15/09/2017,viernes,10,Casual,False,M
Southwest,116,Economy,1,ahane@vizpainter.com,Adrian Hane,Adrian Hane,28/07/2019,domingo,DAL,ATL,DAL-ATL,8,158,21/11/2019,jueves,10,Casual,False,M
Southwest,6,Economy,1,ahane@vizpainter.com,Adrian Hane,Adrian Hane,02/09/2019,lunes,DAL,LGA,DAL-LGA,8,103,08/09/2019,domingo,10,Casual,False,M
Delta,9,First Class,1,ahane@vizpainter.com,Adrian Hane,Adrian Hane,06/09/2017,miércoles,DFW,COS,DFW-COS,2631,350,15/09/2017,viernes,10,Casual,False,M
Southwest,21,Economy,1,ahane@vizpainter.com,Adrian Hane,Adrian Hane,31/10/2019,jueves,DAL,OKC,DAL-OKC,8,74,21/11/2019,jueves,10,Casual,False,M
Delta,41,First Class,1,ahane@vizpainter.com,Adrian Hane,Adrian Hane,11/10/2019,viernes,DFW,MCO,DFW-MCO,1601,575,21/11/2019,jueves,10,Casual,False,M
American Airlines,117,Business,1,ahane@vizpainter.com,Adrian Hane,Adrian Hane,14/05/2019,martes,DFW,HIO,DFW-HIO,1556,400,08/09/2019,domingo,10,Casual,False,M
Southwest,23,Economy,1,ashami@vizpainter.com,Adrian Shami,Adrian Shami,16/11/2019,sábado,DAL,HOU,DAL-HOU,9,76,09/12/2019,lunes,9,Casual,True,M
Southwest,28,Economy,1,ashami@vizpainter.com,Adrian Shami,Adrian Shami,11/11/2019,lunes,DAL,HOU,DAL-HOU,9,84,09/12/2019,lunes,9,Casual,True,M
Southwest,27,Economy,1,ashami@vizpainter.com,Adrian Shami,Adrian Shami,04/06/2017,domingo,DAL,ATL,DAL-ATL,9,101,01/07/2017,sábado,9,Casual,False,M
Southwest,21,Economy,1,ashami@vizpainter.com,Adrian Shami,Adrian Shami,10/06/2017,sábado,DAL,MDW,DAL-MDW,9,60,01/07/2017,sábado,9,Casual,False,M
Southwest,37,Economy,1,ashami@vizpainter.com,Adrian Shami,Adrian Shami,25/05/2017,jueves,DAL,HOU,DAL-HOU,9,67,01/07/2017,sábado,9,Casual,False,M
Southwest,23,Economy,1,ashami@vizpainter.com,Adrian Shami,Adrian Shami,16/11/2019,sábado,DAL,HOU,DAL-HOU,9,76,09/12/2019,lunes,9,Casual,False,M
Southwest,28,Economy,1,ashami@vizpainter.com,Adrian Shami,Adrian Shami,11/11/2019,lunes,DAL,HOU,DAL-HOU,9,84,09/12/2019,lunes,9,Casual,False,M
Southwest,37,Economy,1,ashami@vizpainter.com,Adrian Shami,Adrian Shami,25/05/2017,jueves,DAL,HOU,DAL-HOU,9,67,01/07/2017,sábado,9,Casual,False,M
American Airlines,14,Business,1,ashami@vizpainter.com,Adrian Shami,Adrian Shami,17/06/2017,sábado,DFW,SEA,DFW-SEA,4316,171,01/07/2017,sábado,9,Casual,False,M
American Airlines,46,Economy,1,ashami@vizpainter.com,Adrian Shami,Adrian Shami,24/10/2019,jueves,DFW,SEA,DFW-SEA,3434,73,09/12/2019,lunes,9,Casual,False,M
Delta,34,Business,1,ashami@vizpainter.com,Adrian Shami,Adrian Shami,26/02/2019,martes,DFW,MCO,DFW-MCO,8665,379,01/04/2019,lunes,9,Casual,False,M
American Airlines,14,Business,1,ashami@vizpainter.com,Adrian Shami,Adrian Shami,17/06/2017,sábado,DFW,SEA,DFW-SEA,4316,171,01/07/2017,sábado,9,Casual,False,M
American Airlines,46,Economy,1,ashami@vizpainter.com,Adrian Shami,Adrian Shami,24/10/2019,jueves,DFW,SEA,DFW-SEA,3434,73,09/12/2019,lunes,9,Casual,False,M
United,42,Business,1,ashami@vizpainter.com,Adrian Shami,Adrian Shami,20/05/2017,sábado,DFW,JFK,DFW-JFK,4317,489,01/07/2017,sábado,9,Casual,False,M
Southwest,27,Economy,1,ashami@vizpainter.com,Adrian Shami,Adrian Shami,04/06/2017,domingo,DAL,ATL,DAL-ATL,9,101,01/07/2017,sábado,9,Casual,False,M
Southwest,21,Economy,1,ashami@vizpainter.com,Adrian Shami,Adrian Shami,10/06/2017,sábado,DAL,MDW,DAL-MDW,9,60,01/07/2017,sábado,9,Casual,False,M
United,42,Business,1,ashami@vizpainter.com,Adrian Shami,Adrian Shami,20/05/2017,sábado,DFW,JFK,DFW-JFK,4317,489,01/07/2017,sábado,9,Casual,False,M
Delta,34,Business,1,ashami@vizpainter.com,Adrian Shami,Adrian Shami,26/02/2019,martes,DFW,MCO,DFW-MCO,8665,379,01/04/2019,lunes,9,Casual,False,M
Southwest,46,Economy,1,abixby@vizpainter.com,Aimee Bixby,Aimee Bixby,05/06/2019,miércoles,DAL,SFO,DAL-SFO,10,92,21/07/2019,domingo,6,Casual,True,F
Southwest,46,Economy,1,abixby@vizpainter.com,Aimee Bixby,Aimee Bixby,05/06/2019,miércoles,DAL,SFO,DAL-SFO,10,92,21/07/2019,domingo,6,Casual,True,F
Southwest,27,Economy,1,abixby@vizpainter.com,Aimee Bixby,Aimee Bixby,27/11/2018,martes,DAL,HOU,DAL-HOU,10,79,24/12/2018,lunes,6,Casual,False,F
Southwest,49,Economy,1,abixby@vizpainter.com,Aimee Bixby,Aimee Bixby,05/11/2018,lunes,DAL,OKC,DAL-OKC,10,149,24/12/2018,lunes,6,Casual,False,F
Southwest,42,Business,1,abixby@vizpainter.com,Aimee Bixby,Aimee Bixby,27/10/2017,viernes,DAL,AUS,DAL-AUS,10,131,08/12/2017,viernes,6,Casual,False,F
Southwest,26,Economy,1,abixby@vizpainter.com,Aimee Bixby,Aimee Bixby,12/11/2017,domingo,DAL,LGA,DAL-LGA,10,90,08/12/2017,viernes,6,Casual,False,F
American Airlines,77,Business,1,abixby@vizpainter.com,Aimee Bixby,Aimee Bixby,05/05/2019,domingo,DFW,LNK,DFW-LNK,4573,359,21/07/2019,domingo,6,Casual,False,F
Southwest,27,Economy,1,abixby@vizpainter.com,Aimee Bixby,Aimee Bixby,27/11/2018,martes,DAL,HOU,DAL-HOU,10,79,24/12/2018,lunes,6,Casual,False,F
American Airlines,77,Business,1,abixby@vizpainter.com,Aimee Bixby,Aimee Bixby,05/05/2019,domingo,DFW,LNK,DFW-LNK,4573,359,21/07/2019,domingo,6,Casual,False,F
Southwest,42,Business,1,abixby@vizpainter.com,Aimee Bixby,Aimee Bixby,27/10/2017,viernes,DAL,AUS,DAL-AUS,10,131,08/12/2017,viernes,6,Casual,False,F
Southwest,26,Economy,1,abixby@vizpainter.com,Aimee Bixby,Aimee Bixby,12/11/2017,domingo,DAL,LGA,DAL-LGA,10,90,08/12/2017,viernes,6,Casual,False,F
Southwest,49,Economy,1,abixby@vizpainter.com,Aimee Bixby,Aimee Bixby,05/11/2018,lunes,DAL,OKC,DAL-OKC,10,149,24/12/2018,lunes,6,Casual,False,F
Southwest,52,Economy,1,abarnes@vizpainter.com,Alan Barnes,Alan Barnes,19/09/2019,jueves,DAL,PHX,DAL-PHX,11,98,10/11/2019,domingo,8,Casual,True,M
Southwest,32,Economy,1,abarnes@vizpainter.com,Alan Barnes,Alan Barnes,09/10/2019,miércoles,DAL,TUL,DAL-TUL,11,110,10/11/2019,domingo,8,Casual,True,M
Southwest,48,Economy,1,abarnes@vizpainter.com,Alan Barnes,Alan Barnes,23/09/2019,lunes,DAL,LAS,DAL-LAS,11,132,10/11/2019,domingo,8,Casual,True,M
Southwest,52,Economy,1,abarnes@vizpainter.com,Alan Barnes,Alan Barnes,19/09/2019,jueves,DAL,PHX,DAL-PHX,11,98,10/11/2019,domingo,8,Casual,True,M
Southwest,18,Economy,1,abarnes@vizpainter.com,Alan Barnes,Alan Barnes,23/10/2019,miércoles,DAL,HOU,DAL-HOU,11,118,10/11/2019,domingo,8,Casual,True,M
Southwest,40,Business,1,abarnes@vizpainter.com,Alan Barnes,Alan Barnes,01/10/2019,martes,DAL,LGA,DAL-LGA,11,129,10/11/2019,domingo,8,Casual,True,M
Southwest,26,Economy,1,abarnes@vizpainter.com,Alan Barnes,Alan Barnes,27/01/2017,viernes,DAL,SEA,DAL-SEA,11,61,22/02/2017,miércoles,8,Casual,False,M
Southwest,17,Economy,1,abarnes@vizpainter.com,Alan Barnes,Alan Barnes,08/11/2016,martes,DAL,HOU,DAL-HOU,11,140,25/11/2016,viernes,8,Casual,False,M
Southwest,18,Economy,1,abarnes@vizpainter.com,Alan Barnes,Alan Barnes,23/10/2019,miércoles,DAL,HOU,DAL-HOU,11,118,10/11/2019,domingo,8,Casual,False,M
Southwest,17,Economy,1,abarnes@vizpainter.com,Alan Barnes,Alan Barnes,08/11/2016,martes,DAL,HOU,DAL-HOU,11,140,25/11/2016,viernes,8,Casual,False,M
Southwest,26,Economy,1,abarnes@vizpainter.com,Alan Barnes,Alan Barnes,27/01/2017,viernes,DAL,SEA,DAL-SEA,11,61,22/02/2017,miércoles,8,Casual,False,M
United,48,Business,1,abarnes@vizpainter.com,Alan Barnes,Alan Barnes,05/01/2017,jueves,DFW,IAD,DFW-IAD,4217,215,22/02/2017,miércoles,8,Casual,False,M
